In,Out,Duration,Text,Speaker,Status
00:16:24.370,00:17:39.970,00:01:15.600,"Yeah, that was an ABC News piece that sent in some of the hidden cameras to a clinic that had been accused of doing unnecessary and actually dangerous surgeries on patients' eyes. And ABC sent in some patients for whom actually this surgery would be not only unnecessary, but dangerous. And yes, it was recommended to them anyway, and they captured that interaction on hidden camera. The clinic sued ABC, in ABC. One, because, among other things, that kind of hidden camera was lawful in Illinois at that time. As Stuart mentioned, though, today there was later a change in Illinois law, and under Illinois law now recording of private conversations is the audio that's at issue, but the recording would be illegal. So when someone would come to me now and say, oh, we want to do a piece about ophthalmologists and unnecessary surgeries. And we want to capture that conversation, and we're looking at Illinois, I would have to say, despite the newsworthiness and importance of the reporting, we better look at some other states, because we can't capture that interaction.",John,not-edited
00:17:40.930,00:18:14.079,00:00:33.149,"'I mean, it's quite interesting that, you know, that's a problem, because the news-gathering process isn't a problem. I mean you know invariably within, well not invariably, but very often within camera there is that impersonation element that you refer to Stuart in the sense that you know you go in and you pretend to be someone and you know it's a, we have a situation where other programs. I mean, I was thinking particularly of the Food Lion case over here where, you of Sarah O'Rourke.",Mark,not-edited
00:18:14.440,00:18:16.420,00:00:01.980,"Also ABC. Also ABC, how does this happen?",John,not-edited
00:18:16.970,00:18:56.410,00:00:39.440,"Food line were basically, as I understand it, cutting the green bits off out of date meat, repackaging it, and putting it back on the shelves. So you had somebody go in. And that's perfectly possible for us. I mean, we have to be able to show that the individual reporter hasn't gained. So the money that they're paid as a worker has to go into a trust account and has to back afterwards. But basically, that's... Perfectly cool as far as we're concerned. I've always been gobsmacked at that decision but it's always down to that distinction that you have which we just don't.",Mark,not-edited
00:18:57.730,00:19:07.250,00:00:09.520,"Well, but ultimately Foodland ABC did win. Oh, did you? Oh, I didn't, for two dollars. We won almost everything. We ended up paying two dollars...",John,not-edited
00:19:08.240,00:19:09.140,00:00:00.900,So the honor was satisfied.,Mark,not-edited
00:19:09.170,00:19:11.349,00:00:02.179,On a minor trespassing.,John,not-edited
00:19:12.410,00:19:54.950,00:00:42.540,"Well, I mean, I think it's interesting you raise that, because one of the things that happened, because the first time I became cognizant of sort of the news gathering talks that you have here, the attack on news gathering by attacking the actual processes, was in Food Lion and when that was going on, and I predicted it would happen in the UK, and it hasn't. It's taken until basically the last 18 months to begin a process of that, and so. We're now seeing claims in trespass, in harassment, in order to try and preclude the gathering of information. But you don't.",Mark,not-edited
00:19:56.270,00:20:08.710,00:00:12.440,"That this sort of approach, that the newsworthiness, the importance of the reporting, will trump the news gathering toward, or crime? Would that even extend to a physical trespass?",John,not-edited
00:20:08.740,00:21:36.460,00:01:27.720,"Yeah, I mean, I think the courts are basically going to say, well, you know, you walked on someone's front lawn in order to get pictures of wrongdoing. A couple of broken blades of glass, that doesn't warrant any money. Similarly, I can see situations where people are using drones to fly over without anybody's knowledge and effectively trespassing in the airspace. And I think that that again is going to be dealt with as an invasion of privacy. In fact, you know, our celebrities now expect it, so if you're buying Hello or Okay, and I know that there's some of you out there that are addicted, I can see you are, madam. And they, it's all our little guilty secret, I am too. And, but now when they sell the weddings and things, the car pulls up into a tent. The flaps are let down and everybody walks in under a covered walkway because, you know, there's so many drones around and all the rest of it. And I was talking to a friend of mine, Amal Clooney, who was getting married in Venice a little while ago. And she said she had no idea until she saw the pictures that there were drones all over the Grand Canal taking pictures of her going to and from the wedding and wedding reception. Well, drone use.",Mark,not-edited
00:21:36.490,00:21:46.790,00:00:10.300,"By journalists has proceeded more quickly than in the US, where it's been held back here by the FAA. But across Europe and most of the world, it is just flourishing freely, right?",John,not-edited
00:21:47.240,00:22:59.740,00:01:12.500,"Yeah, no, it's amazingly good fun because we, but perfectly happily, you don't even need to be qualified. Anything that weighs up to 22 kilos, and that's basically the size of my wife's luggage when she checks in. It's really big. And that's the sort of size of something falling out of the sky. And that, you do need to qualified for that. Now, of course. The BBC, being the BBC have got someone who's a former aviation pilot, who's got a proper license and all the rest of it, and they notify people and they do everything very properly, but this prevention which you have, which is that if you're the person who took the film or the journalist who uses it does it for commercial gain, then it suddenly becomes illegal and problematic. We just don't have that issue. So if you want to go take drone pictures, off you go. And the only preventative issue is really privacy. Is there an invasion of privacy? Do you have a legitimate expectation?",Mark,not-edited
00:22:59.530,00:23:30.069,00:00:30.539,"Right, because the oddity about Haldeman and the secret camera is that the Europeans sue for privacy much more, especially minor royals in money laundering countries. And they tend to prevail at least for some period of time, or they stand outside wearing either not the top and not the bottom, or not both, and tend to be members of the royal family in England. And they sue and they win, they get some sort of money.",Stuart,edited
00:23:30.130,00:23:56.849,00:00:26.719,"So there's this protection of privacy, which is really quite surprising, if you look at it from an American perspective. And yet on something like this, which is American jurisprudence has no problem basically punishing the hidden microphone in the ambulance and wouldn't look at news worthiness. In fact, it goes the other way there and it's more, you can do more there than you can here. Really quite extraordinary. I'm not sure it's rational. I'm sure which is the better system, but it's different.",Stuart,edited
00:23:57.040,00:24:51.749,00:00:54.709,"Yeah, you can gather anything you want. The question is, can you exploit it? And, you know, so you have... So walk through that. Well, let's take a situation which I had to deal with was some drone pilots decided that Paris Hilton was of interest, and she was doing, she was on the Cote d'Azur. Topless, as everybody on the Côte d'Azur is, and they got the shots of her and then the question. With a dron. And the question was, you know, how do you deal with that? We have similar issues, I mean. So how did you deal that? Well, we just published. I mean, you, I, I. I mean they, she had a. Did you do a legal analysis, or you just wrote that down?",Mark,not-edited
00:24:51.390,00:24:52.630,00:00:01.240,"Yeah, yeah, well, yeah what?",Speaker 5,not-edited
00:24:54.190,00:25:12.970,00:00:18.780,"There were two things, really. Where would we be sued? And so clearly, she could sue us in France, but the French are very keen on these legal actions, but they don't actually think much about the term in terms of damages. She could have sued us in London.",Mark,not-edited
00:25:13.230,00:25:16.890,00:00:03.660,"Dutch is cake up with like 15,000 including, sorry.",Stuart,not-edited
00:25:17.090,00:25:47.559,00:00:30.469,"Yeah, and you know, if you think about the intrusion for the Duchess of Cambridge, Kate, she, and that was at the topless pictures, so they were taken at a chateau in France, which has a long tradition of history with the royal family, I'll tell you about that in a minute, but the image was on every national newspaper, it was all over the world, closer went to about four or five reprints. As a consequence of it.",Mark,not-edited
00:25:47.160,00:25:49.359,00:00:02.199,There's the French magazine that I actually published in.,Stuart,not-edited
00:25:49.390,00:26:52.839,00:01:03.449,"Yeah, absolutely, and so there was a lot of intrusions. So 15,000 euros is not a lot of money for that, and of course, you know, they've had more in terms of profit. I mean, they've probably made a couple of hundred thousand on the back of that. So the economics of that are not a disincentive. The English have taken a slightly different approach in the sense that we do give seriously large awards for damages. So. For the phone hacking, which we've had recently. The Daily Mirror has rather foolishly in my judgment taken all of these cases to court and the judges cannot restrain themselves. So the awards have been sort of 150,000, 250,000 pounds. Pounds, yeah. Yeah, and it's important to just put that in context. So we don't have jury awards or indeed the awards like Stewart lost 240 million.",Mark,not-edited
00:26:52.980,00:26:53.440,00:00:00.460,And won.,Stuart,not-edited
00:26:53.690,00:30:41.940,00:03:48.250,"And won, and won, yes, I appreciate you. You know, you did well afterwards. Second time out. We're all great affiliate lawyers. Yeah. But the important thing to remember is that if you lose the site in one eye in the UK, we've got a kind of tariff for it. We actually have a book with all the things in. So it's about 10 to 15,000 pounds for the loss of an eye, permanent loss of vision. If you, and part of the rationale for that is that you've got another one. And similarly, losing the forearm below the elbow, so somewhere around here, that's going to be, again, about 10 to 15,000 pounds. So personally, I would prefer to be photographed from the top off and publicly humiliated than to have that physical difference. But that is the difference. And in terms of libel, we have a cap on libel of 230,000 lbs. So if I call John a pedophile murderer on the front page of every national newspaper, that's the maximum that he can get in terms of damages. So privacy awards have kind of got out beyond them. But going back to the chateau in France, the infamous Royal Chateau, which is rented out to, or lent to. Members of the royal family. Charles used to go there with Camilla when he was still married to Diana for their summer holiday, so they'd go away for a month and, well, be together. And one of my clients was a photographer who discovered where they went, and so he went down and took a photograph of Charles getting changed through... The bedroom window in the evening as the sun was going down. And fortunately for Charles, unfortunately for the photographer, the sun, was on the window at the time and the photographer didn't have a UV filter for the lens which was that long and about that wide. And so, there was this sort of, well sort of a glow around the crown jewels and so anyway he was not content with this photograph. The Germans published that wasn't it, in Bill? The next year he goes back, this year he's bought, you know, £6.95, a UV filter that will fit over this thing and he gets the shot which demonstrates that A, the moil has been round and B, that the... You know, you see the full Crown Jewels and all the rest of it. And he has the problem. Not a privacy problem, you might think. The problem is that nobody will publish it, because it's too rude. Except, of course, the Italians. It's always the Italians, isn't it? Well, the Italian's came up with a rather ingenious solution, and what they did was they put Um put it on the front cover of a magazine, and put a black box over the crown jewels, and on the black box it said, for the full uncensored image, take a two euro coin and scratch off, and you've got all these Italian matrons scratching away, which I thought was genius, It's an evil genius, but genius nonetheless.",Mark,not-edited
00:30:44.050,00:31:04.509,00:00:20.459,"Okay, so that's one aspect of privacy. Or not, always change indoors, it's a reminder. But then other aspects of privacy and a difference with the U.S. would be what's commonly known as the right to be forgotten. Which is actually the right to be harder to find or the right to be obscure and if I can find this.",Stuart,edited
00:31:05.670,00:31:28.839,00:00:23.169,"Ah, there it is. So this is the thing, right? Yeah, this is what we're all concerned with. Right, so what this is not about, I'll start with that and you can say what it's about. It's not about this is the original notice that reports this guy has a financial problem. Yeah, and that's on their website and it's not taking down off their website. This is about something different. What's this about?",Stuart,edited
00:31:29.290,00:31:38.710,00:00:09.420,"So, this is the actual print edition of La Vanguardia and under Spanish law, when you had... This, by the way...",Mark,not-edited
00:31:38.150,00:31:42.329,00:00:04.179,"This, by the way, is the guy, right? Yeah. Yeah, it is. So you'll never forget him.",Stuart,not-edited
00:31:42.690,00:31:47.250,00:00:04.560,"Yeah, this is the most famous deadbeat in history, Mr. Gonzales.",Mark,not-edited
00:31:47.780,00:31:50.519,00:00:02.739,"If you meet him, ask him what he did 16 years ago.",Stuart,not-edited
00:31:52.000,00:32:51.540,00:00:59.540,"But he became slightly embarrassed about this thing. And it was the only, when he put his name into the Google search engine, it was only thing that came up about him because he was pretty anonymous. And so he wanted this to be forgotten. He'd moved on with his life. And he was now a successful lawyer. Um, and, uh, no longer a property dealer and so on and so forth. And so he took this case on the right to be forgotten. Now, this is a form of privacy law that we have. It's a data regulation and basically it says that you have to, the information has to be up to date, it has to accurate and it has to be proportionate and all the rest of it. It has to be relevant, basically. And so.",Mark,not-edited
00:32:52.330,00:33:08.670,00:00:16.340,"So you delete it if it's inadequate, irrelevant, no longer relevant, or excessive, in relation to the purposes of the processing, the processing of the data carried out by the operator of the search engine. So what could be excessive is a whole separate question, but anyway.",Stuart,edited
00:33:08.750,00:34:47.479,00:01:38.729,"'Yeah, but I mean, you know, basically what you've got is, he's saying it's no longer relevant. It's effectively, you now, yesterday's news. And so he wanted it removed. Now, he tried, he initially started proceedings against La Vanguardia and Google, but dropped the case against LaVanguardia very quickly because he recognized that there's a defense, which is that journalists are entitled to keep. Material in their archives for journalistic purposes. So, La Vanguardia are in the clear. But Google is merely a search engine according to the European Court. And as a commercial search engine, they are obliged to process data. That is, they're supposed to behave appropriately in relation to data. And they don't get the journalistic exemption. So, anyone. Who doesn't like a story about themselves or believes it falls into the categories can now apply to have it removed or effectively airbrushed from history because you are de-linked. The right to be forgotten is quite an emotive term, but basically it's de-linking. So it's like going, I think it's a bit like going into a library and leaving the book on the shelf. But taking out the library card that tells you where it is. So you could spend months and months trying to find it, but you probably wouldn't bother. And that's really what this is about. And there are many hundreds of thousands, many millions of them now.",Mark,not-edited
00:34:48.030,00:34:48.969,00:00:00.939,Them being requests.,Stuart,not-edited
00:34:49.110,00:35:16.390,00:00:27.280,"Requests for them to come down. About 48% are successful in terms of them, but the tension really is now, whereas people were happy just to have them removed from .uk or .fr for France or .sp for Spain, now people want them removed here on the .com domains.",Mark,not-edited
00:35:16.650,00:35:21.690,00:00:05.040,"Right, so the U.S., if this happened, what happens, John, under U. S. Law?",Stuart,not-edited
00:35:24.630,00:35:37.590,00:00:12.960,"'I mean, unless you have a good old-fashioned kind of libel suit or invasion of privacy suit and you go after the original publisher. But Google and the search engines, it would not be liability.",John,not-edited
00:35:37.600,00:35:39.020,00:00:01.420,"'It's a non-live, it's non-bible.",Stuart,not-edited
00:35:39.920,00:36:08.710,00:00:28.790,"Um. I actually, some of my students will have just written an essay for me about, would they recommend that this sort of right to be forgotten be enacted in the U.S.? And if it were enacted, if there were an attempt to enact it, would it be constitutional? And overwhelmingly, the class said something with which I agree, which is that it could not, it could lawfully be enacted. It would be found unconstitutional.",John,not-edited
00:36:08.650,00:36:26.169,00:00:17.519,"Which is what the tension is. So the French regulators are the one, I think, most actively pursuing this. But they are corresponding monthly with Google, saying you've got to take this off Google.com, not just off Google ES or FR. And Google's so far refusing. Presumably that gets litigated now, right? What happens?",Stuart,not-edited
00:36:25.660,00:36:48.040,00:00:22.380,"The decision that's come down, they took it to the highest court in Spain and then the highest court of Spain referred it to European Union court who makes the definitive rulings for the whole of the European Union because our laws have to be harmonized. They go back to data regulation.",Mark,not-edited
00:36:47.650,00:36:58.749,00:00:11.099,"That's this one, but the issue of taking it off Google.com, that's at this point regulatory, right? So what, yeah. Well, that hasn't gone to the, the European Court of Human Rights has not ruled on. No. Yeah. Just France.",Stuart,not-edited
00:36:59.180,00:38:14.389,00:01:15.209,"'Well, a number of countries are coming up with very similar things because, of course, there are German citizens, French and Spanish, but you're right, the French are being particularly aggressive about this, but so are the Germans. The Germans have got a very particular view about privacy. I think a lot of it is informed by Angela Merkel's experience, their chancellor, on her growing up. In East Germany, in a starsy state. For those of you that have seen the movie, The Lives of Others, where people are bugged regularly. It was something that she finds, or it does find, personally very, very distasteful and problematic. And I think that, and also the disclosure by Edward Snowden that the American government was listening to her telephone calls, I think didn't improve things. So. There is this tension where they want to push, because they see it as an ineffectual or half-hearted remedy if you take it off European domains, but leave it on dot com.",Mark,not-edited
00:38:14.420,00:38:30.400,00:00:15.980,"But how do they exercise jurisdiction? So assume none of them like it. Do they fine Google France, which then puts the fine back to Google California? If they come to this country, it won't work. They can't actually get an order in the US court, probably.",Stuart,not-edited
00:38:30.960,00:39:54.929,00:01:23.969,"Yeah, I mean, it's a problem, because what they're doing is they're fining people who don't have the power to do it. So Google's corporate structure is Google Inc, Google Ireland, which is the holding company for the European Union, and then each country of the European union has its own company. So there's Google France. So Google France is basically an advertising sales operation. There's no mechanicals, there's no ability to control data, all of that is held, and deliberately so, in California. And as a result of that, that's the structure that happens. So what they're trying to do is to exercise such pain on the sub of the sub that the... The mother company will take action, or will be forced to take action. So daily fines have been addressed. Only 2,000 to 3,000 euros a day. Over one. Over one incident. And you've got to remember that there are literally hundreds of thousands of those. And so those are the sorts of issues that we're seeing in play at the moment.",Mark,not-edited
00:39:54.930,00:40:02.150,00:00:07.220,"But it's this issue of jurisdiction and who can do what where. So John, tell us about that picture and what happened in the United States.",Stuart,not-edited
00:40:03.050,00:40:09.389,00:00:06.339,'Does anyone in this audience know who that white-haired gentleman is? Paul Weller.,John,not-edited
00:40:10.700,00:40:13.439,00:00:02.739,"I'm so pleased, you must be from Woking, sir!",Mark,not-edited
00:40:15.690,00:40:23.610,00:00:07.920,"A minor figure here in the U.S., mostly as leader of the rock group, the late 70s rock group, The Jam, and then later The Style Council.",John,not-edited
00:40:23.740,00:40:25.820,00:00:02.080,But he knew the whole history. He gave me five minutes.,Stuart,not-edited
00:40:28.300,00:41:08.520,00:00:40.220,"It's still a major figure in England, apparently, I guess so. Small country. This photograph is of him and two children, is that right? Of his. They're twins, yeah. Resting in a cafe in Santa Monica, California, snapped by a paparazzo, whom Weller actually then confronted. The paparazzzo assured him that they would not show the children's faces, but then they went on to do so, and this, and a whole series of photographs, published in the Mirror, in a British tabloid. And Weller,",John,not-edited
00:41:08.730,00:41:09.469,00:00:00.739,"Online, online.",Stuart,not-edited
00:41:11.440,00:41:44.480,00:00:33.040,"But British publication, and Weller sued in England. And even though he and the court acknowledged that the taking of the photographs was lawful in California and that publishing them in California or New York or the U.S. Would be lawful, he successfully, his lawsuit in England against the British publication was successful because of their feelings. Uh... That the privacy of the children deserve protection",John,not-edited
00:41:45.290,00:42:47.530,00:01:02.240,"I mean this is a really interesting development and we're seeing it increasingly used because of course countries which don't have protections for privacy or don't have, as far as celebrities are concerned, adequate protections for privacy are nearly all signed up to the International Covenant for the protection of the rights of the child, the US is, everybody is. Even you know some of the Gulf countries are and the key to that is that they when you get the letters before action in London What they say because the immediate thing you say as well. It was published It was pretty taken in America. You haven't got any legitimate expectation of privacy given the local law They then say well, you're not remembering the International Covenant on the rights of the child And the child is the person who brings it and of course In this particular instance, although it's Weller who's angry and it's Weller whose giving the instructions to the lawyers, the case is brought in the name of the children.",Mark,not-edited
00:42:47.830,00:43:04.270,00:00:16.440,"Right, so the woman with the glasses is actually his daughter, identifying the caption as his wife. That was one mistake. But the children are 10 months old, and they got, I think, 5,000 each because of the trauma they suffered at the age of 10 months for having their pictures published.",Stuart,not-edited
00:43:04.470,00:43:13.150,00:00:08.680,"Well, the pram photograph, yes. But I mean, it's an easy mistake with the wife. I mean she's, the daughter's 16 and the wife's 26. So, you know. Weller is 54.",Mark,not-edited
00:43:14.610,00:43:19.929,00:00:05.319,"Allegedly and total damages were 10,000 pounds. So again, it goes to the point but in England elite",John,not-edited
00:43:19.960,00:43:21.960,00:00:02.000,legal fees would have been in the hundreds of thousands.,Stuart,not-edited
00:43:22.000,00:43:22.800,00:00:00.800,"Yeah, no I mean",Mark,not-edited
00:43:24.689,00:43:25.989,00:00:01.300,"Well, it's not in this case, but it is.",Stuart,not-edited
00:43:26.050,00:43:52.169,00:00:26.119,"You get the key thing in the UK is that the legal fees are going to be expensive. They did a survey a few years ago on libel cases, but privacy cases are the same. Basically, it's 150 times more expensive to sue for libel or privacy in the U.K. And Ireland than it is anywhere else in Europe.",Mark,not-edited
00:43:52.190,00:44:21.050,00:00:28.860,"But see this, where Mark and I got to know each other was over 15 years of litigation over these forum shopping libel plaintiffs. So Russians came into the UK, Middle Easterners came into UK, Arnold Schwarzenegger went to the UK. Liberace won the lawsuit proving he was not gay, or couldn't be proved that he was gay. So he won damages, Elton John won damages on the same point. And by and large, we got rid of that through forum, basically saying you belonged in a different court.",Stuart,not-edited
00:44:21.540,00:44:43.880,00:00:22.340,"But privacy now is extremely attractive to run the same arguments. And those costs objectives, since they're gonna go in front of judges who will be disinclined to approve pictures of children or pictures of whatever else, they're going to be in a very friendly court. They'll all talk about the children. And in all probability, what you'll see is a surge of this stuff as the firms migrate away from defamation and into privacy, no?",Stuart,edited
00:44:44.170,00:45:06.350,00:00:22.180,"Well, it's already happening. We're seeing, I think we've had four libel trials this year. But we've something like 40, 45 privacy trials. So that gives you, which in a smallest jurisdiction, is a lot. And there's significant normal cases. Think of the.",Mark,not-edited
00:45:06.710,00:45:09.030,00:00:02.320,Multiple of that that's settled because the prospect of,Stuart,not-edited
